,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,HuBERT,96480458,WHN-L2,0.7030325884333369,0.9364253109587726
1,HuBERT,96480458,ENQ-L2,0.7195016029416755,0.9363607701822942
2,HuBERT,96480458,END1-L2,0.8363883432023074,0.9540591570954577
3,HuBERT,96480458,END2-L2,0.7833112963145602,0.9497952932448173
4,HuBERT,96480458,ENSC-L2,0.664138369872752,0.9231386791028872
5,HuBERT,96480458,PSH-L2,0.8418819615525212,0.953109463945737
6,HuBERT,96480458,TST-L2,0.7295968741081482,0.9514967019893432
7,HuBERT,96480458,Global,0.7444782217036241,0.9428617952054733
