,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,RS-C,HuBERT,WHN-L2,0.703,0.0,0.9382,0.0039,0.2352,0.0039
1,RS-C,HuBERT,ENQ-L2,0.7195,0.0,0.9324,0.0045,0.2129,0.0045
2,RS-C,HuBERT,END1-L2,0.8364,0.0,0.9512,0.0086,0.1148,0.0086
3,RS-C,HuBERT,END2-L2,0.7833,0.0,0.9443,0.0055,0.161,0.0055
4,RS-C,HuBERT,ENSC-L2,0.6641,0.0,0.9219,0.0031,0.2578,0.0031
5,RS-C,HuBERT,PSH-L2,0.8419,0.0,0.9504,0.01,0.1086,0.01
6,RS-C,HuBERT,TST-L2,0.7296,0.0,0.9546,0.0077,0.225,0.0077
7,RS-C,HuBERT,Global,0.7445,0.0,0.9409,0.0044,0.1964,0.0044
