,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,99080852,WHN-L1,0.6044526905130494,0.7035774954729858
1,AMAuT,99080852,ENSC-L1,0.5348702193417478,0.6417978844678676
2,AMAuT,99080852,PSH-L1,0.6035774494226037,0.6080422618655701
3,AMAuT,99080852,TST-L1,0.5183822964830602,0.6363707797733802
4,AMAuT,99080852,Global,0.566450722997352,0.649474037408648
