,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,99136586,WHN-L1,0.783365534213446,0.966214223783086
1,AMAuT,99136586,ENQ-L1,0.6492845501825685,0.9259403355076902
2,AMAuT,99136586,END1-L1,0.8273878074007841,0.9657486227110347
3,AMAuT,99136586,END2-L1,0.7671068236024589,0.9569382112785123
4,AMAuT,99136586,ENSC-L1,0.7066437491197975,0.9411767571204727
5,AMAuT,99136586,PSH-L1,0.7963059316368369,0.9679306081198218
6,AMAuT,99136586,TST-L1,0.6703721921468456,0.9779119618242849
7,AMAuT,99136586,Global,0.740043225967719,0.959036302035837
