,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,RS-C,AMAuT,WHN-L1,0.7834,0.0,0.9674,0.0013,0.184,0.0013
1,RS-C,AMAuT,ENQ-L1,0.6493,0.0,0.9296,0.0037,0.2803,0.0037
2,RS-C,AMAuT,END1-L1,0.8274,0.0,0.9676,0.0026,0.1402,0.0026
3,RS-C,AMAuT,END2-L1,0.7671,0.0,0.9596,0.002,0.1925,0.002
4,RS-C,AMAuT,ENSC-L1,0.7066,0.0,0.9459,0.0035,0.2393,0.0035
5,RS-C,AMAuT,PSH-L1,0.7963,0.0,0.968,0.0014,0.1717,0.0014
6,RS-C,AMAuT,TST-L1,0.6704,0.0,0.9789,0.002,0.3085,0.002
7,RS-C,AMAuT,Global,0.74,0.0,0.9615,0.0022,0.2215,0.0022
