,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,99136586,WHN-L2,0.7675203967720936,0.9672694278888845
1,AMAuT,99136586,ENQ-L2,0.6568306896587311,0.9408356200005412
2,AMAuT,99136586,END1-L2,0.8405276128828353,0.9695929440084141
3,AMAuT,99136586,END2-L2,0.7490712912618445,0.9594023611941985
4,AMAuT,99136586,ENSC-L2,0.6953017346620672,0.9429144661554016
5,AMAuT,99136586,PSH-L2,0.7672836889340775,0.9727645665747394
6,AMAuT,99136586,TST-L2,0.6750900077358397,0.9833932325210828
7,AMAuT,99136586,Global,0.7337470655600012,0.964208691267962
