,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,103072070,WHN-L2,0.7585642889595638,0.9353930031803726
1,AMAuT,103072070,ENQ-L2,0.8567923671058609,0.9084052703316674
2,AMAuT,103072070,END1-L2,0.9077691958200818,0.9385733757383008
3,AMAuT,103072070,END2-L2,0.902044525215811,0.9387551113130396
4,AMAuT,103072070,ENSC-L2,0.7492957746478873,0.9070422535211268
5,AMAuT,103072070,PSH-L2,0.5857337573830077,0.8872330758746024
6,AMAuT,103072070,TST-L2,0.8744207178555202,0.9500227169468424
7,AMAuT,103072070,Global,0.8049458038553904,0.9236321152722788
