,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84792981,WHN-L1,0.7128577919127669,0.8413448432530668
1,PANNs,84792981,ENQ-L1,0.7519309404815993,0.8169922762380736
2,PANNs,84792981,END1-L1,0.8368014538845979,0.8544298046342571
3,PANNs,84792981,END2-L1,0.8400726942298955,0.8639709223080418
4,PANNs,84792981,ENSC-L1,0.6816901408450704,0.8192639709223081
5,PANNs,84792981,PSH-L1,0.704225352112676,0.7245797364834167
6,PANNs,84792981,TST-L1,0.7070422535211267,0.8152657882780554
7,PANNs,84792981,Global,0.7478029467125332,0.8194067631596028
