,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SC2-C,PANNs,WHN-L2,0.7043,0.0,0.7605,0.0022,0.0562,0.0022
1,SC2-C,PANNs,ENQ-L2,0.7647,0.0001,0.7719,0.0022,0.0073,0.0022
2,SC2-C,PANNs,END1-L2,0.84,0.0,0.8425,0.0015,0.0024,0.0016
3,SC2-C,PANNs,END2-L2,0.8355,0.0001,0.8376,0.0027,0.0022,0.0027
4,SC2-C,PANNs,ENSC-L2,0.688,0.0,0.7357,0.002,0.0477,0.002
5,SC2-C,PANNs,PSH-L2,0.5676,0.0,0.5563,0.0011,-0.0113,0.0011
6,SC2-C,PANNs,TST-L2,0.6909,0.0,0.7449,0.007,0.054,0.007
7,SC2-C,PANNs,Global,0.7273,0.0,0.7499,0.0009,0.0226,0.0009
