,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84792981,WHN-L1,0.7128577919127669,0.7650159018627897
1,PANNs,84792981,ENQ-L1,0.7519309404815993,0.7596547024079964
2,PANNs,84792981,END1-L1,0.8368014538845979,0.8337119491140391
3,PANNs,84792981,END2-L1,0.8400726942298955,0.8344388914129941
4,PANNs,84792981,ENSC-L1,0.6816901408450704,0.7393003180372558
5,PANNs,84792981,PSH-L1,0.704225352112676,0.6908677873693776
6,PANNs,84792981,TST-L1,0.7070422535211267,0.7411176737846433
7,PANNs,84792981,Global,0.7478029467125332,0.7663010319984422
