,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84792981,WHN-L1,0.7129486597001363,0.766288050885961
1,PANNs,84792981,ENQ-L1,0.7519309404815993,0.758836892321672
2,PANNs,84792981,END1-L1,0.8368014538845979,0.8337119491140391
3,PANNs,84792981,END2-L1,0.8399818264425262,0.8334393457519309
4,PANNs,84792981,ENSC-L1,0.6816901408450704,0.7395729213993639
5,PANNs,84792981,PSH-L1,0.704225352112676,0.6920490686051795
6,PANNs,84792981,TST-L1,0.7070422535211267,0.7542026351658337
7,PANNs,84792981,Global,0.7478029467125332,0.7683001233205685
