,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84778075,WHN-L1,0.8671679197994987,0.898078529657477
1,PANNs,84778075,ENQ-L1,0.8624338624338624,0.8916736285157337
2,PANNs,84778075,END1-L1,0.8950153160679476,0.9075466443887497
3,PANNs,84778075,END2-L1,0.8880534670008354,0.9030910609857978
4,PANNs,84778075,ENSC-L1,0.8404344193817878,0.884990253411306
5,PANNs,84778075,PSH-L1,0.8618769145084935,0.8813700918964077
6,PANNs,84778075,TST-L1,0.36563631300473404,0.8390420495683654
7,PANNs,84778075,Global,0.7972311731710228,0.8865417512034054
