,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84778075,WHN-L1,0.8668894458368143,0.8950153160679476
1,PANNs,84778075,ENQ-L1,0.8624338624338624,0.8894458368142578
2,PANNs,84778075,END1-L1,0.8950153160679476,0.9025341130604289
3,PANNs,84778075,END2-L1,0.8880534670008354,0.9025341130604289
4,PANNs,84778075,ENSC-L1,0.8404344193817878,0.884990253411306
5,PANNs,84778075,PSH-L1,0.8618769145084935,0.8835978835978836
6,PANNs,84778075,TST-L1,0.3659147869674185,0.8351434140907825
7,PANNs,84778075,Global,0.7972311731710228,0.8847515614432908
