,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VS-C,AMAuT,WHN-L1,0.7268,0.0,0.9042,0.0009,0.1774,0.0009
1,VS-C,AMAuT,ENQ-L1,0.785,0.0,0.8939,0.0013,0.1089,0.0013
2,VS-C,AMAuT,END1-L1,0.8212,0.0,0.9062,0.001,0.085,0.001
3,VS-C,AMAuT,END2-L1,0.8148,0.0,0.9063,0.0005,0.0915,0.0005
4,VS-C,AMAuT,ENSC-L1,0.7215,0.0,0.8994,0.001,0.1778,0.001
5,VS-C,AMAuT,PSH-L1,0.8358,0.0002,0.8919,0.001,0.0561,0.0011
6,VS-C,AMAuT,TST-L1,0.7814,0.0,0.9043,0.0012,0.1229,0.0012
7,VS-C,AMAuT,Global,0.7838,0.0,0.9009,0.0005,0.1171,0.0005
