,Model,Num of Params,Corruption,Accuracy
0,AMAuT,97005989,WHN-L2,0.9075466443887497
1,AMAuT,97005989,ENQ-L2,0.8950153160679476
2,AMAuT,97005989,END1-L2,0.911166805903648
3,AMAuT,97005989,END2-L2,0.9103313840155945
4,AMAuT,97005989,ENSC-L2,0.8958507379560011
5,AMAuT,97005989,PSH-L2,0.8777499303815093
6,AMAuT,97005989,TST-L2,0.897521581732108
7,AMAuT,97005989,Global,0.8993117714922226
