,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,97005989,WHN-L2,0.7140072403230298,0.9022556390977443
1,AMAuT,97005989,ENQ-L2,0.7858535226956279,0.8905597326649958
2,AMAuT,97005989,END1-L2,0.8173210804789752,0.9075466443887497
3,AMAuT,97005989,END2-L2,0.8064605959342801,0.9081035923141186
4,AMAuT,97005989,ENSC-L2,0.7251461988304093,0.8908382066276803
5,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8766360345307713
6,AMAuT,97005989,TST-L2,0.7766638819270398,0.8972431077694235
7,AMAuT,97005989,Global,0.7766240999323706,0.8961689939133548
