,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,RS-C,AMAuT,WHN-L2,0.7675,0.0,0.9684,0.0011,0.2009,0.0011
1,RS-C,AMAuT,ENQ-L2,0.6568,0.0,0.9463,0.0008,0.2895,0.0008
2,RS-C,AMAuT,END1-L2,0.8405,0.0,0.9706,0.0013,0.1301,0.0013
3,RS-C,AMAuT,END2-L2,0.7491,0.0,0.9626,0.0011,0.2135,0.0011
4,RS-C,AMAuT,ENSC-L2,0.6953,0.0,0.9486,0.0015,0.2533,0.0015
5,RS-C,AMAuT,PSH-L2,0.7673,0.0,0.9743,0.0009,0.207,0.0009
6,RS-C,AMAuT,TST-L2,0.6751,0.0,0.981,0.0019,0.306,0.0019
7,RS-C,AMAuT,Global,0.7337,0.0,0.9666,0.0007,0.2328,0.0007
