,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,99136586,WHN-L2,0.7675213974882442,0.9692286921793769
1,AMAuT,99136586,ENQ-L2,0.6568278474417986,0.9474640516760094
2,AMAuT,99136586,END1-L2,0.8405301413890564,0.9723009317600481
3,AMAuT,99136586,END2-L2,0.749076900914778,0.9638732164321563
4,AMAuT,99136586,ENSC-L2,0.6953037779242655,0.9505337403138446
5,AMAuT,99136586,PSH-L2,0.7672827784942258,0.9732323847372615
6,AMAuT,99136586,TST-L2,0.6750915090072507,0.9821513181778325
7,AMAuT,99136586,Global,0.7337493462452754,0.9675332112727911
