,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,103072070,WHN-L1,0.7750113584734212,0.9406633348477964
1,AMAuT,103072070,ENQ-L1,0.8451612903225807,0.9145842798727851
2,AMAuT,103072070,END1-L1,0.9038618809631985,0.936210813266697
3,AMAuT,103072070,END2-L1,0.9083144025442981,0.9422989550204453
4,AMAuT,103072070,ENSC-L1,0.7434802362562472,0.9255792821444798
5,AMAuT,103072070,PSH-L1,0.7395729213993639,0.91094956837801
6,AMAuT,103072070,TST-L1,0.8871422080872331,0.9544752385279418
7,AMAuT,103072070,Global,0.8289348997209061,0.9321087817225936
