,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84792981,WHN-L2,0.7043162199000454,0.8447978191731031
1,PANNs,84792981,ENQ-L2,0.7647432985006815,0.8235347569286687
2,PANNs,84792981,END1-L2,0.8400726942298955,0.8689686506133576
3,PANNs,84792981,END2-L2,0.8354384370740573,0.8666060881417538
4,PANNs,84792981,ENSC-L2,0.6879600181735575,0.819990913221263
5,PANNs,84792981,PSH-L2,0.5675601999091322,0.7156746933212176
6,PANNs,84792981,TST-L2,0.6908677873693776,0.8736029077691958
7,PANNs,84792981,Global,0.7272798078795353,0.8304536898812228
