,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SC2-C,PANNs,WHN-L1,0.7129,0.0001,0.8602,0.0005,0.1473,0.0005
1,SC2-C,PANNs,ENQ-L1,0.7519,0.0,0.8294,0.0004,0.0774,0.0004
2,SC2-C,PANNs,END1-L1,0.8368,0.0,0.8678,0.0002,0.031,0.0002
3,SC2-C,PANNs,END2-L1,0.8401,0.0,0.8714,0.001,0.0313,0.001
4,SC2-C,PANNs,ENSC-L1,0.6817,0.0,0.8429,0.0016,0.1612,0.0016
5,SC2-C,PANNs,PSH-L1,0.7042,0.0,0.7826,0.0005,0.0784,0.0005
6,SC2-C,PANNs,TST-L1,0.707,0.0,0.8784,0.001,0.1714,0.001
7,SC2-C,PANNs,Global,0.7478,0.0,0.8475,0.0004,0.0997,0.0004
