,Model,Type,Befor Adaptation,After Adaptation,Relative Improvement
0,PANNs,embedding,0.05335003882646561,0.10484903305768967,0.9653037816661665
1,PANNs,logits,-0.028391268104314804,-0.020824378356337547,0.2665217249252515
