,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,103072070,WHN-L2,0.7583825533848251,0.8490686051794639
1,AMAuT,103072070,ENQ-L2,0.8567923671058609,0.8735120399818265
2,AMAuT,103072070,END1-L2,0.9077691958200818,0.9177646524307133
3,AMAuT,103072070,END2-L2,0.902044525215811,0.9148568832348932
4,AMAuT,103072070,ENSC-L2,0.749204906860518,0.8317128577919127
5,AMAuT,103072070,PSH-L2,0.5857337573830077,0.62189913675602
6,AMAuT,103072070,TST-L2,0.8741481144934121,0.9187641980917765
7,AMAuT,103072070,Global,0.8048679171805023,0.8467969104952294
