,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,HuBERT,96480458,WHN-L1,0.7065732252962771,0.9580696886716543
1,HuBERT,96480458,ENQ-L1,0.7009379863704294,0.937139942112912
2,HuBERT,96480458,END1-L1,0.8340526796624005,0.9665699376332642
3,HuBERT,96480458,END2-L1,0.7927110468658792,0.9561465834128872
4,HuBERT,96480458,ENSC-L1,0.6561163310412855,0.940950477821837
5,HuBERT,96480458,PSH-L1,0.8760638164511536,0.9723571194632606
6,HuBERT,96480458,TST-L1,0.7248321979834261,0.9749043279307706
7,HuBERT,96480458,Global,0.7444363869997745,0.9581688870563692
