,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,HuBERT,119772166,WHN-L2,0.580896686159844,0.9223057644110275
1,HuBERT,119772166,ENQ-L2,0.7296017822333611,0.9209133945976051
2,HuBERT,119772166,END1-L2,0.8340295182400446,0.9262043998886104
3,HuBERT,119772166,END2-L2,0.7875243664717348,0.9239766081871345
4,HuBERT,119772166,ENSC-L2,0.6808688387635756,0.9178501810080757
5,HuBERT,119772166,PSH-L2,0.8629908103592314,0.8961292119186856
6,HuBERT,119772166,TST-L2,0.7048175995544417,0.9195210247841826
7,HuBERT,119772166,Global,0.7401042288260333,0.9181286549707602
