,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VS-C,HuBERT,WHN-L2,0.5806,0.0002,0.9219,0.0006,0.3412,0.0006
1,VS-C,HuBERT,ENQ-L2,0.7296,0.0,0.9207,0.0006,0.1911,0.0006
2,VS-C,HuBERT,END1-L2,0.834,0.0001,0.9259,0.0005,0.0919,0.0005
3,VS-C,HuBERT,END2-L2,0.7875,0.0,0.9244,0.0006,0.1369,0.0006
4,VS-C,HuBERT,ENSC-L2,0.6809,0.0,0.9192,0.0012,0.2384,0.0012
5,VS-C,HuBERT,PSH-L2,0.863,0.0,0.8941,0.0014,0.0311,0.0014
6,VS-C,HuBERT,TST-L2,0.7048,0.0001,0.9197,0.0003,0.215,0.0004
7,VS-C,HuBERT,Global,0.74,0.0,0.918,0.0002,0.1779,0.0002
