,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,97005989,WHN-L1,0.7268170426065163,0.8785853522695628
1,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8866610971874129
2,AMAuT,97005989,END1-L1,0.8212197159565581,0.9044834307992202
3,AMAuT,97005989,END2-L1,0.8148148148148148,0.9042049568365358
4,AMAuT,97005989,ENSC-L1,0.721526037315511,0.874129768866611
5,AMAuT,97005989,PSH-L1,0.8359788359788359,0.8835978835978836
6,AMAuT,97005989,TST-L1,0.7813979392926761,0.873015873015873
7,AMAuT,97005989,Global,0.7838246409674982,0.8863826232247285
