,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,97005989,WHN-L1,0.7268170426065163,0.8830409356725146
1,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8880534670008354
2,AMAuT,97005989,END1-L1,0.8212197159565581,0.9061542745753272
3,AMAuT,97005989,END2-L1,0.8148148148148148,0.9047619047619048
4,AMAuT,97005989,ENSC-L1,0.721526037315511,0.8752436647173489
5,AMAuT,97005989,PSH-L1,0.8357003620161515,0.8774714564188248
6,AMAuT,97005989,TST-L1,0.7813979392926761,0.8693957115009746
7,AMAuT,97005989,Global,0.7837848589728289,0.8863030592353901
