,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,97005989,WHN-L2,0.7142857142857143,0.8771929824561403
1,AMAuT,97005989,ENQ-L2,0.7858535226956279,0.886104149262044
2,AMAuT,97005989,END1-L2,0.8173210804789752,0.8994708994708994
3,AMAuT,97005989,END2-L2,0.8061821219715957,0.9042049568365358
4,AMAuT,97005989,ENSC-L2,0.7254246727930939,0.8774714564188248
5,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8749651907546644
6,AMAuT,97005989,TST-L2,0.7766638819270398,0.8654970760233918
7,AMAuT,97005989,Global,0.7766638819270398,0.8835581016032144
