,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,97005989,WHN-L1,0.7268170426065163,0.87468671679198
1,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8858256752993595
2,AMAuT,97005989,END1-L1,0.8212197159565581,0.899749373433584
3,AMAuT,97005989,END2-L1,0.8148148148148148,0.9003063213589529
4,AMAuT,97005989,ENSC-L1,0.721526037315511,0.8680033416875522
5,AMAuT,97005989,PSH-L1,0.8357003620161515,0.8866610971874129
6,AMAuT,97005989,TST-L1,0.7816764132553606,0.8657755499860763
7,AMAuT,97005989,Global,0.7838246409674982,0.8830011536778454
