,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84794009,WHN-L1,0.8149694506063716,0.893846904156901
1,PANNs,84794009,ENQ-L1,0.761592806882312,0.8323187454734613
2,PANNs,84794009,END1-L1,0.8815520156279258,0.9134638403389541
3,PANNs,84794009,END2-L1,0.8503917249027783,0.8964446206701019
4,PANNs,84794009,ENSC-L1,0.739128162127172,0.845634090743177
5,PANNs,84794009,PSH-L1,0.9325336240716455,0.9502689870494688
6,PANNs,84794009,TST-L1,0.7108335477934187,0.7483105721594772
7,PANNs,84794009,Global,0.8014885938218046,0.8629397088780579
