,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,RS-C,PANNs,WHN-L2,0.808,0.0,0.8674,0.0027,0.0594,0.0027
1,RS-C,PANNs,ENQ-L2,0.7688,0.0,0.8363,0.0027,0.0675,0.0027
2,RS-C,PANNs,END1-L2,0.8797,0.0,0.9215,0.0049,0.0418,0.0049
3,RS-C,PANNs,END2-L2,0.8361,0.0,0.8822,0.0071,0.0461,0.0071
4,RS-C,PANNs,ENSC-L2,0.747,0.0,0.8172,0.002,0.0702,0.002
5,RS-C,PANNs,PSH-L2,0.9265,0.0,0.9369,0.0065,0.0104,0.0065
6,RS-C,PANNs,TST-L2,0.6823,0.0,0.7018,0.012,0.0195,0.012
7,RS-C,PANNs,Global,0.7962,0.0,0.848,0.0003,0.0518,0.0003
