,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VS-C,HuBERT,WHN-L2,0.5805,0.0002,0.9213,0.0002,0.3408,0.0002
1,VS-C,HuBERT,ENQ-L2,0.7296,0.0,0.9199,0.0004,0.1903,0.0004
2,VS-C,HuBERT,END1-L2,0.8338,0.0,0.9243,0.0007,0.0905,0.0007
3,VS-C,HuBERT,END2-L2,0.7878,0.0,0.9228,0.0004,0.135,0.0004
4,VS-C,HuBERT,ENSC-L2,0.6807,0.0002,0.9177,0.0002,0.237,0.0002
5,VS-C,HuBERT,PSH-L2,0.863,0.0,0.8962,0.0015,0.0332,0.0015
6,VS-C,HuBERT,TST-L2,0.7045,0.0,0.9166,0.0005,0.2121,0.0005
7,VS-C,HuBERT,Global,0.74,0.0,0.917,0.0003,0.177,0.0003
