,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,HuBERT,119772166,WHN-L1,0.5792258423837371,0.9203564466722362
1,HuBERT,119772166,ENQ-L1,0.6961849067112225,0.9192425508214982
2,HuBERT,119772166,END1-L1,0.8482316903369534,0.9275967697020329
3,HuBERT,119772166,END2-L1,0.8334725703146756,0.9264828738512949
4,HuBERT,119772166,ENSC-L1,0.6396546922862713,0.9223057644110275
5,HuBERT,119772166,PSH-L1,0.8880534670008354,0.908939014202172
6,HuBERT,119772166,TST-L1,0.70843776106934,0.9209133945976051
7,HuBERT,119772166,Global,0.7418944185861479,0.9208338306082667
