,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84794009,WHN-L2,0.808029636147822,0.9538578398928256
1,PANNs,84794009,ENQ-L2,0.7688410402113638,0.905997302653844
2,PANNs,84794009,END1-L2,0.8797021924097819,0.9586873643391514
3,PANNs,84794009,END2-L2,0.8360648275658588,0.9400932296564275
4,PANNs,84794009,ENSC-L2,0.7470168927216004,0.9215763696638022
5,PANNs,84794009,PSH-L2,0.926483301351354,0.9698618487880124
6,PANNs,84794009,TST-L2,0.6822579748442104,0.9191222890285458
7,PANNs,84794009,Global,0.7962323604295807,0.9345178627541236
