,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,97005989,WHN-L2,0.7142857142857143,0.9014202172096909
1,AMAuT,97005989,ENQ-L2,0.7858535226956279,0.8902812587023113
2,AMAuT,97005989,END1-L2,0.8173210804789752,0.9086605402394876
3,AMAuT,97005989,END2-L2,0.8061821219715957,0.9055973266499582
4,AMAuT,97005989,ENSC-L2,0.7251461988304093,0.8905597326649958
5,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8755221386800334
6,AMAuT,97005989,TST-L2,0.7766638819270398,0.8969646338067391
7,AMAuT,97005989,Global,0.7766240999323706,0.8955722639933166
