,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,97005989,WHN-L2,0.7140072403230298,0.9011417432470064
1,AMAuT,97005989,ENQ-L2,0.7858535226956279,0.8930659983291562
2,AMAuT,97005989,END1-L2,0.8173210804789752,0.9078251183514341
3,AMAuT,97005989,END2-L2,0.8061821219715957,0.9069896964633807
4,AMAuT,97005989,ENSC-L2,0.7251461988304093,0.8858256752993595
5,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8738512949039264
6,AMAuT,97005989,TST-L2,0.7769423558897243,0.8936229462545252
7,AMAuT,97005989,Global,0.7766240999323706,0.8946174961212555
