,Model,Type,Befor Adaptation,After Adaptation,Relative Improvement
0,PANNs,embedding,-0.03043760545551777,0.020095257088541985,1.660211497843011
1,PANNs,logits,-0.0677306205034256,-0.1085408478975296,-0.602537332313971
