,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,RS-C,PANNs,WHN-L2,0.808,0.0,0.924,0.0059,0.1159,0.0059
1,RS-C,PANNs,ENQ-L2,0.7688,0.0,0.8911,0.0055,0.1223,0.0055
2,RS-C,PANNs,END1-L2,0.8797,0.0,0.9409,0.0021,0.0612,0.0021
3,RS-C,PANNs,END2-L2,0.8361,0.0,0.927,0.0038,0.091,0.0038
4,RS-C,PANNs,ENSC-L2,0.747,0.0,0.8841,0.0054,0.1371,0.0054
5,RS-C,PANNs,PSH-L2,0.9265,0.0,0.9353,0.0054,0.0089,0.0054
6,RS-C,PANNs,TST-L2,0.6823,0.0,0.8417,0.0177,0.1594,0.0177
7,RS-C,PANNs,Global,0.7962,0.0,0.8983,0.0017,0.1021,0.0016
