,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84794009,WHN-L2,0.8080283448783465,0.9265013704372553
1,PANNs,84794009,ENQ-L2,0.7688352847143062,0.8888063509068719
2,PANNs,84794009,END1-L2,0.8796996946240212,0.941127805560846
3,PANNs,84794009,END2-L2,0.8360649240914707,0.9281778409179599
4,PANNs,84794009,ENSC-L2,0.747022749640591,0.8846701084653685
5,PANNs,84794009,PSH-L2,0.9264919877762114,0.9419183925348572
6,PANNs,84794009,TST-L2,0.6822608951461474,0.8584749721343105
7,PANNs,84794009,Global,0.7962333031211264,0.9005250511828631
