,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84794009,WHN-L1,0.81496741566059,0.9199720777265615
1,PANNs,84794009,ENQ-L1,0.7615923022970259,0.8774237569716195
2,PANNs,84794009,END1-L1,0.8815520234154169,0.9429114440758463
3,PANNs,84794009,END2-L1,0.8503895621544222,0.9316034212791517
4,PANNs,84794009,ENSC-L1,0.7391274220122053,0.8878839122878227
5,PANNs,84794009,PSH-L1,0.9325321007991026,0.9434925329881788
6,PANNs,84794009,TST-L1,0.7108317032053172,0.8605391548298476
7,PANNs,84794009,Global,0.8014869475074272,0.899699815061057
