,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84778075,WHN-L1,0.8668894458368143,0.9022556390977443
1,PANNs,84778075,ENQ-L1,0.8624338624338624,0.8941798941798942
2,PANNs,84778075,END1-L1,0.8950153160679476,0.9072681704260651
3,PANNs,84778075,END2-L1,0.8877749930381509,0.9039264828738512
4,PANNs,84778075,ENSC-L1,0.8404344193817878,0.8908382066276803
5,PANNs,84778075,PSH-L1,0.8621553884711779,0.8808131439710387
6,PANNs,84778075,TST-L1,0.3659147869674185,0.8340295182400446
7,PANNs,84778075,Global,0.7972311731710228,0.8876158650594741
