,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84778075,WHN-L1,0.8668894458368143,0.859370648844333
1,PANNs,84778075,ENQ-L1,0.8624338624338624,0.8538011695906432
2,PANNs,84778075,END1-L1,0.8950153160679476,0.8780284043441938
3,PANNs,84778075,END2-L1,0.8880534670008354,0.8805346700083542
4,PANNs,84778075,ENSC-L1,0.8404344193817878,0.8613199665831245
5,PANNs,84778075,PSH-L1,0.8618769145084935,0.8279030910609858
6,PANNs,84778075,TST-L1,0.36563631300473404,0.5561125034809246
7,PANNs,84778075,Global,0.7971913911763536,0.816724350558937
