,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84792981,WHN-L1,0.7128577919127669,0.8616992276238074
1,PANNs,84792981,ENQ-L1,0.7519309404815993,0.8296228986824171
2,PANNs,84792981,END1-L1,0.8368014538845979,0.866424352567015
3,PANNs,84792981,END2-L1,0.8400726942298955,0.8723307587460245
4,PANNs,84792981,ENSC-L1,0.6816901408450704,0.8433439345751931
5,PANNs,84792981,PSH-L1,0.704225352112676,0.7839164016356202
6,PANNs,84792981,TST-L1,0.7070422535211267,0.8772376192639709
7,PANNs,84792981,Global,0.7478029467125332,0.8477964561562926
