,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84792981,WHN-L1,0.7128577919127669,0.860427078600636
1,PANNs,84792981,ENQ-L1,0.7519309404815993,0.830804179918219
2,PANNs,84792981,END1-L1,0.8368014538845979,0.8676056338028169
3,PANNs,84792981,END2-L1,0.8400726942298955,0.8725124943207633
4,PANNs,84792981,ENSC-L1,0.6816901408450704,0.8460699681962744
5,PANNs,84792981,PSH-L1,0.704225352112676,0.7840981372103589
6,PANNs,84792981,TST-L1,0.7070422535211267,0.880145388459791
7,PANNs,84792981,Global,0.7478029467125332,0.8488089829298371
