,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,PANNs,84778075,WHN-L1,0.8671679197994987,0.87468671679198
1,PANNs,84778075,ENQ-L1,0.8624338624338624,0.8774714564188248
2,PANNs,84778075,END1-L1,0.8950153160679476,0.884433305485937
3,PANNs,84778075,END2-L1,0.8880534670008354,0.8813700918964077
4,PANNs,84778075,ENSC-L1,0.8404344193817878,0.8576998050682261
5,PANNs,84778075,PSH-L1,0.8621553884711779,0.8763575605680869
6,PANNs,84778075,TST-L1,0.3659147869674185,0.8078529657477026
7,PANNs,84778075,Global,0.7973107371603613,0.8656959859967379
