,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VS-C,AMAuT,WHN-L1,0.7269,0.0001,0.905,0.0007,0.1781,0.0007
1,VS-C,AMAuT,ENQ-L1,0.785,0.0,0.8939,0.0011,0.1089,0.0011
2,VS-C,AMAuT,END1-L1,0.8212,0.0,0.9087,0.0005,0.0875,0.0005
3,VS-C,AMAuT,END2-L1,0.8148,0.0,0.9063,0.0008,0.0915,0.0008
4,VS-C,AMAuT,ENSC-L1,0.7216,0.0001,0.8991,0.0012,0.1776,0.0013
5,VS-C,AMAuT,PSH-L1,0.8358,0.0002,0.8931,0.0014,0.0573,0.0013
6,VS-C,AMAuT,TST-L1,0.7814,0.0,0.9048,0.0012,0.1234,0.0012
7,VS-C,AMAuT,Global,0.7838,0.0,0.9016,0.0004,0.1177,0.0004
