,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,97005989,WHN-L1,0.7270955165692008,0.9050403787245892
1,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8936229462545252
2,AMAuT,97005989,END1-L1,0.8212197159565581,0.9081035923141186
3,AMAuT,97005989,END2-L1,0.8148148148148148,0.9072681704260651
4,AMAuT,97005989,ENSC-L1,0.721526037315511,0.899749373433584
5,AMAuT,97005989,PSH-L1,0.8359788359788359,0.8941798941798942
6,AMAuT,97005989,TST-L1,0.7813979392926761,0.9053188526872737
7,AMAuT,97005989,Global,0.7838644229621673,0.9018976011457215
