,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SC2-C,PANNs,WHN-L2,0.8268,0.0,0.8625,0.0025,0.0357,0.0025
1,SC2-C,PANNs,ENSC-L2,0.7114,0.0002,0.8396,0.0035,0.1283,0.0036
2,SC2-C,PANNs,PSH-L2,0.7919,0.0,0.8469,0.002,0.0549,0.002
3,SC2-C,PANNs,TST-L2,0.5007,0.0001,0.8609,0.0038,0.3602,0.0038
4,SC2-C,PANNs,Global,0.718,0.0,0.8524,0.0015,0.1344,0.0015
