,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SC2-C,AMAuT,WHN-L2,0.7585,0.0,0.9301,0.0002,0.1717,0.0002
1,SC2-C,AMAuT,ENQ-L2,0.8567,0.0001,0.9072,0.0008,0.0505,0.0008
2,SC2-C,AMAuT,END1-L2,0.9078,0.0,0.9358,0.0007,0.0281,0.0007
3,SC2-C,AMAuT,END2-L2,0.902,0.0,0.9349,0.0007,0.0329,0.0007
4,SC2-C,AMAuT,ENSC-L2,0.7494,0.0,0.9026,0.0007,0.1532,0.0006
5,SC2-C,AMAuT,PSH-L2,0.5857,0.0,0.8856,0.0006,0.2999,0.0006
6,SC2-C,AMAuT,TST-L2,0.8744,0.0,0.9458,0.0004,0.0714,0.0004
7,SC2-C,AMAuT,Global,0.8049,0.0,0.9203,0.0001,0.1154,0.0001
