,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,HuBERT,96479942,WHN-L1,0.9353930031803726,0.9737392094502498
1,HuBERT,96479942,ENQ-L1,0.9345751930940481,0.9667423898228078
2,HuBERT,96479942,END1-L1,0.9577464788732394,0.9709223080417991
3,HuBERT,96479942,END2-L1,0.9640163562017265,0.9724670604270786
4,HuBERT,96479942,ENSC-L1,0.9196728759654702,0.9703771013175829
5,HuBERT,96479942,PSH-L1,0.8268059972739664,0.9650159018627896
6,HuBERT,96479942,TST-L1,0.9431167651067697,0.9731031349386643
7,HuBERT,96479942,Global,0.9259038099565132,0.9703381579801389
