,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,HuBERT,96479942,WHN-L2,0.9320308950477056,0.9731031349386643
1,HuBERT,96479942,ENQ-L2,0.942480690595184,0.9681054066333484
2,HuBERT,96479942,END1-L2,0.9628350749659246,0.9721035892776011
3,HuBERT,96479942,END2-L2,0.9586551567469332,0.9729213993639255
4,HuBERT,96479942,ENSC-L2,0.9229441163107678,0.9664697864606997
5,HuBERT,96479942,PSH-L2,0.698682417083144,0.961472058155384
6,HuBERT,96479942,TST-L2,0.9407542026351658,0.9729213993639255
7,HuBERT,96479942,Global,0.9083403647692607,0.9695852534562212
