,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,HuBERT,96480458,WHN-L2,0.7254550762492008,0.8653816317033527
1,HuBERT,96480458,ENQ-L2,0.7198916878971543,0.8250860844883594
2,HuBERT,96480458,END1-L2,0.8508076751334872,0.9063201899794517
3,HuBERT,96480458,END2-L2,0.8054540226730437,0.8660325974402643
4,HuBERT,96480458,ENSC-L2,0.7187813621647827,0.8385095590462583
5,HuBERT,96480458,PSH-L2,0.8661435848381189,0.9160366099775595
6,HuBERT,96480458,TST-L2,0.7555333397741053,0.9336114222739843
7,HuBERT,96480458,Global,0.7667470165043203,0.8751074068903274
