,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,HuBERT,96480458,WHN-L2,0.7030329369182163,0.9475555041995394
1,HuBERT,96480458,ENQ-L2,0.7195016117662121,0.9380088829690578
2,HuBERT,96480458,END1-L2,0.8363881262651245,0.9694851302451842
3,HuBERT,96480458,END2-L2,0.7833110808252126,0.9551777414786837
4,HuBERT,96480458,ENSC-L2,0.664138217096191,0.9295560888886844
5,HuBERT,96480458,PSH-L2,0.8418823250015879,0.9616080291896039
6,HuBERT,96480458,TST-L2,0.7295971892786014,0.9671617855440633
7,HuBERT,96480458,Global,0.7444781368311763,0.9533768972209078
