,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,HuBERT,96480458,WHN-L1,0.7065737566488273,0.9652630831532061
1,HuBERT,96480458,ENQ-L1,0.7009378601737764,0.9426267342676217
2,HuBERT,96480458,END1-L1,0.834052465035496,0.9705195628655818
3,HuBERT,96480458,END2-L1,0.7927109641614307,0.9631033673777217
4,HuBERT,96480458,ENSC-L1,0.6561170519597834,0.94654381484382
5,HuBERT,96480458,PSH-L1,0.8760641791004197,0.9753032267491177
6,HuBERT,96480458,TST-L1,0.7248314619973376,0.9783296522463374
7,HuBERT,96480458,Global,0.7444362804280419,0.9637939586479976
