,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,RS-C,PANNs,WHN-L2,0.808,0.0,0.9557,0.0035,0.1477,0.0035
1,RS-C,PANNs,ENQ-L2,0.7688,0.0,0.9314,0.0039,0.1626,0.0039
2,RS-C,PANNs,END1-L2,0.8797,0.0,0.9607,0.0019,0.081,0.0019
3,RS-C,PANNs,END2-L2,0.8361,0.0,0.9471,0.0021,0.1111,0.0021
4,RS-C,PANNs,ENSC-L2,0.747,0.0,0.9309,0.0029,0.1839,0.0029
5,RS-C,PANNs,PSH-L2,0.9265,0.0,0.9733,0.0008,0.0468,0.0008
6,RS-C,PANNs,TST-L2,0.6823,0.0,0.9502,0.0045,0.268,0.0045
7,RS-C,PANNs,Global,0.7962,0.0,0.9483,0.0021,0.152,0.0021
