,Dataset,Algorithm,Corruption,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,US8-C,PANNs,WHN-L2,0.8269,0.0,0.8665,0.0018,0.0396,0.0018
1,US8-C,PANNs,ENSC-L2,0.7117,0.0,0.8237,0.0035,0.112,0.0035
2,US8-C,PANNs,PSH-L2,0.7919,0.0,0.8142,0.0078,0.0222,0.0078
3,US8-C,PANNs,TST-L2,0.5006,0.0001,0.6942,0.0165,0.1936,0.0164
4,US8-C,PANNs,Global,0.718,0.0,0.8023,0.0016,0.0843,0.0016
