,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,99136586,WHN-L1,0.78336427521749,0.9661599046769156
1,AMAuT,99136586,ENQ-L1,0.6492824447432588,0.93238647165679
2,AMAuT,99136586,END1-L1,0.8273885454656853,0.9662989227241349
3,AMAuT,99136586,END2-L1,0.7671058609138125,0.9600852157422979
4,AMAuT,99136586,ENSC-L1,0.70664327098516,0.9478027606539501
5,AMAuT,99136586,PSH-L1,0.7963059512978784,0.9669317224961942
6,AMAuT,99136586,TST-L1,0.6703723103942371,0.9794027602555463
7,AMAuT,99136586,Global,0.7400425654985892,0.9616811071105755
