,Model,Num of Params,Corruption,Befor Adaptation,After Adaptation
0,AMAuT,99136586,WHN-L1,0.7833674175627813,0.9684161033636708
1,AMAuT,99136586,ENQ-L1,0.6492879513516713,0.9362226433549723
2,AMAuT,99136586,END1-L1,0.827384625672087,0.9683174230575328
3,AMAuT,99136586,END2-L1,0.7671093872288213,0.96211507953337
4,AMAuT,99136586,ENSC-L1,0.706649282279489,0.9491490199504558
5,AMAuT,99136586,PSH-L1,0.7963054965793632,0.9683635371000993
6,AMAuT,99136586,TST-L1,0.6703699578368115,0.9808983089658517
7,AMAuT,99136586,Global,0.7400440027051368,0.9637595755369703
